lead_score,title,beds,price_text,location_text,address_hint,seller_name,phone_found,email_found,url,seller_profile_url,posted_iso,scraped_ts
8,Kindersley-ClarkPlace 1286SF Townhouse for Rent Sept 1st,,"$1,950.00",,,,,,https://www.kijiji.ca/v-apartments-condos/saskatoon/kindersley-clarkplace-1286sf-townhouse-for-rent-sept-1st/1722448203,,,2025-08-21T01:15:07
14,Fully Furnished 2 bedroom condo in desirable Wildwood location,2.0,"$1,700.00",,"$1,700",,,,https://www.kijiji.ca/v-apartments-condos/saskatoon/fully-furnished-2-bedroom-condo-in-desirable-wildwood-location/1721345365,,,2025-08-21T01:15:07
14,Executive family home in desirable Willowgrove location,,"$3,100.00",,"$3,100",,,,https://www.kijiji.ca/v-apartments-condos/saskatoon/executive-family-home-in-desirable-willowgrove-location/1722748657,,,2025-08-21T01:15:07
14,one room for rent for a girl,,$625.00,,"Getting around

Walk score

1

Other transportation modes are needed to reach day-to-day needs

Transit score

3

Transit is available for some trips

Bike score

5

Somewhat suitable for bicycle commuting and/or recreational cycling

This information is provided by a third party data source. Kijiji is not responsible for the accuracy of this information.",,,,https://www.kijiji.ca/v-apartments-condos/saskatoon/one-room-for-rent-for-a-girl/1723198191,,,2025-08-21T01:15:07
14,Pet-Friendly Two Bedroom Two Bath with In-suite Laundry for Rent,,"$1,748.00",,"Getting around

Walk score

3

Few day-to-day needs are within walking distance

Transit score

3

Transit is available for some trips

Bike score

4

Somewhat suitable for bicycle commuting and/or recreational cycling

This information is provided by a third party data source. Kijiji is not responsible for the accuracy of this information.",,,,https://www.kijiji.ca/v-apartments-condos/saskatoon/pet-friendly-two-bedroom-two-bath-with-in-suite-laundry-for-rent/1718301320,,,2025-08-21T01:15:07
14,Pet-Friendly Three Bedroom Two Bath with In-suite Laundry for Re,,"$2,198.00",,"Getting around

Walk score

3

Few day-to-day needs are within walking distance

Transit score

3

Transit is available for some trips

Bike score

5

Somewhat suitable for bicycle commuting and/or recreational cycling

This information is provided by a third party data source. Kijiji is not responsible for the accuracy of this information.",,,,https://www.kijiji.ca/v-apartments-condos/saskatoon/pet-friendly-three-bedroom-two-bath-with-in-suite-laundry-for-re/1720072656,,,2025-08-21T01:15:07
14,3 Bedroom in Lawson Utilities included Sept 1,3.0,"$1,900.00",,"Getting around

Walk score

3

Few day-to-day needs are within walking distance

Transit score

3

Transit is available for some trips

Bike score

6

Suitable for bicycle commuting and/or recreational cycling

This information is provided by a third party data source. Kijiji is not responsible for the accuracy of this information.",,,,https://www.kijiji.ca/v-apartments-condos/saskatoon/3-bedroom-in-lawson-utilities-included-sept-1/1723160016,,,2025-08-21T01:15:07
14,1 Bedroom Townhouse - 175 Hassard Way,1.0,"$1,695.00",,"Getting around

Walk score

4

Some day-to-day needs are within walking distance

Transit score

3

Transit is available for some trips

Bike score

4

Not very suitable for bicycle commuting and/or recreational cycling

This information is provided by a third party data source. Kijiji is not responsible for the accuracy of this information.",,,,https://www.kijiji.ca/v-apartments-condos/saskatoon/1-bedroom-townhouse-175-hassard-way/1721518040,,,2025-08-21T01:15:07
14,"80 Acres Standing Hay to Cut, Crop, or raise Cattle",,$300.00,,"Getting around

Walk score

4

Some day-to-day needs are within walking distance

Transit score

3

Transit is available for some trips

Bike score

5

Somewhat suitable for bicycle commuting and/or recreational cycling

This information is provided by a third party data source. Kijiji is not responsible for the accuracy of this information.",,,,https://www.kijiji.ca/v-apartments-condos/saskatoon/80-acres-standing-hay-to-cut-crop-or-raise-cattle/1719766794,,,2025-08-21T01:15:07
14,Affordable Apartments for Rent - Chancellor Gate - Apartment for,,"$1,790.00",,"Getting around

Walk score

4

Some day-to-day needs are within walking distance

Transit score

3

Transit is available for some trips

Bike score

6

Somewhat suitable for bicycle commuting and/or recreational cycling

This information is provided by a third party data source. Kijiji is not responsible for the accuracy of this information.",,,,https://www.kijiji.ca/v-apartments-condos/saskatoon/affordable-apartments-for-rent-chancellor-gate-apartment-for/1720849879,,,2025-08-21T01:15:07
14,1 bedroom + den available August 15,1.0,"$2,000.00",,"Getting around

Walk score

4

Some day-to-day needs are within walking distance

Transit score

4

Transit is available for most trips

Bike score

5

Somewhat suitable for bicycle commuting and/or recreational cycling

This information is provided by a third party data source. Kijiji is not responsible for the accuracy of this information.",,,,https://www.kijiji.ca/v-apartments-condos/saskatoon/1-bedroom-den-available-august-15/1719767592,,,2025-08-21T01:15:07
14,Apartments for Rent near University Of Saskatchewan - Geneva Apa,,"$1,480.00",,"Getting around

Walk score

5

Some day-to-day needs are within walking distance

Transit score

3

Transit is available for some trips

Bike score

5

Somewhat suitable for bicycle commuting and/or recreational cycling

This information is provided by a third party data source. Kijiji is not responsible for the accuracy of this information.",,,,https://www.kijiji.ca/v-apartments-condos/saskatoon/apartments-for-rent-near-university-of-saskatchewan-geneva-apa/1722298274,,,2025-08-21T01:15:07
14,Fairhaven Apartment For Rent | Mainstreet Fairmont Village,,"$1,090.00",,"Getting around

Walk score

5

Some day-to-day needs are within walking distance

Transit score

3

Transit is available for some trips

Bike score

6

Somewhat suitable for bicycle commuting and/or recreational cycling

This information is provided by a third party data source. Kijiji is not responsible for the accuracy of this information.",,,,https://www.kijiji.ca/v-apartments-condos/saskatoon/fairhaven-apartment-for-rent-mainstreet-fairmont-village/1708205824,,,2025-08-21T01:15:07
14,Affordable Apartments for Rent - Reid Park Estates - Apartment f,,"$1,382.00",,"Getting around

Walk score

5

Some day-to-day needs are within walking distance

Transit score

3

Transit is available for some trips

Bike score

6

Suitable for bicycle commuting and/or recreational cycling

This information is provided by a third party data source. Kijiji is not responsible for the accuracy of this information.",,,,https://www.kijiji.ca/v-apartments-condos/saskatoon/affordable-apartments-for-rent-reid-park-estates-apartment-f/1717849109,,,2025-08-21T01:15:07
14,Two bedroom east side apartment on bus route to university,,"$1,250.00",,"Getting around

Walk score

5

Some day-to-day needs are within walking distance

Transit score

5

Transit is available for most trips

Bike score

4

Somewhat suitable for bicycle commuting and/or recreational cycling

This information is provided by a third party data source. Kijiji is not responsible for the accuracy of this information.",,,,https://www.kijiji.ca/v-apartments-condos/saskatoon/two-bedroom-east-side-apartment-on-bus-route-to-university/1723138130,,,2025-08-21T01:15:07
14,1 bedroom apartment rentals in Nutana-Call Today!,1.0,"$1,600.00",,"Getting around

Walk score

6

Most day-to-day needs are within walking distance

Transit score

5

Transit is available for most trips

Bike score

8

Suitable for bicycle commuting and/or recreational cycling

This information is provided by a third party data source. Kijiji is not responsible for the accuracy of this information.",,,,https://www.kijiji.ca/v-apartments-condos/saskatoon/1-bedroom-apartment-rentals-in-nutana-call-today/1714267157,,,2025-08-21T01:15:07
14,Basment Suite 1 bedroom,1.0,"$1,200.00",,"Getting around

Walk score

6

Some day-to-day needs are within walking distance

Transit score

4

Transit is available for some trips

Bike score

7

Suitable for bicycle commuting and/or recreational cycling

This information is provided by a third party data source. Kijiji is not responsible for the accuracy of this information.",,,,https://www.kijiji.ca/v-apartments-condos/saskatoon/basment-suite-1-bedroom/1723179433,,,2025-08-21T01:15:07
14,City Park Apartment For Rent | Mainstreet Court,,"$1,324.00",,"Getting around

Walk score

6

Some day-to-day needs are within walking distance

Transit score

4

Transit is available for some trips

Bike score

8

Suitable for bicycle commuting and/or recreational cycling

This information is provided by a third party data source. Kijiji is not responsible for the accuracy of this information.",,,,https://www.kijiji.ca/v-apartments-condos/saskatoon/city-park-apartment-for-rent-mainstreet-court/1708208217,,,2025-08-21T01:15:07
14,Buena Vista 2-bedroom basement suite,,"$1,500.00",,"Getting around

Walk score

7

Most day-to-day needs are within walking distance

Transit score

4

Transit is available for most trips

Bike score

7

Suitable for bicycle commuting and/or recreational cycling

This information is provided by a third party data source. Kijiji is not responsible for the accuracy of this information.",,,,https://www.kijiji.ca/v-apartments-condos/saskatoon/buena-vista-2-bedroom-basement-suite/1723190787,,,2025-08-21T01:15:07
